date,start,finish,sunset,temperature,windy,clouds,rainy,snow,fog,spotlight,moon,observers,conditions,notes,total_deer,Raccoon,Bear,Coyote,Opossum,Skunk,Wild_Hog,Red_Wolf,Gray_Fox,Rabbit,Bobcat,Area,deer_dens
10/16/2001,1/0/1900,1/0/1900,1/0/1900,46,TRUE,3,FALSE,FALSE,FALSE,1000000,4,"hester, herrington, james",,,4,0,0,0,0,0,0,0,0,0,0,470,117.5
2/12/1997,1/0/1900,1/0/1900,1/0/1900,34,FALSE,3,FALSE,FALSE,FALSE,1000000,1,ch lh pk br gd,,wolf observed in field across from Kermit's place and second wolf heard inside woodline,5,0,0,0,1,0,0,1,0,0,0,470,94
1/15/2003,1/0/1900,1/0/1900,1/0/1900,28,FALSE,1,FALSE,FALSE,FALSE,1000000,2,CHHMAA,,,6,0,0,0,0,0,0,0,0,0,0,470,78.33333333
2/1/2000,1/0/1900,1/0/1900,1/0/1900,30,FALSE,2,FALSE,FALSE,FALSE,1000000,3,"blake, sean, jay, josh",calm,all areas surveyed,7,7,0,1,0,0,1,0,0,0,0,470,67.14285714
1/5/1995,1/0/1900,,,25,FALSE,1,FALSE,FALSE,FALSE,1000000,1,cg sg bs,,,8,3,0,0,0,0,0,0,0,0,0,470,58.75
9/27/2001,1/0/1900,1/0/1900,1/0/1900,50,FALSE,1,FALSE,FALSE,FALSE,1000000,1,"varner, hester, herrington",,,8,0,0,2,0,0,0,0,0,0,0,470,58.75
3/6/1997,1/0/1900,1/0/1900,1/0/1900,35,FALSE,1,FALSE,FALSE,FALSE,1000000,4,p b g r,,,9,0,0,0,0,0,0,0,0,0,0,470,52.22222222
1/30/1995,1/0/1900,1/0/1900,1/0/1900,25,FALSE,3,FALSE,TRUE,FALSE,1000000,4,cg sg rv,,surveyed everything but forage creek rd,11,0,0,0,0,0,0,0,0,0,0,470,42.72727273
2/6/1997,1/0/1900,1/0/1900,1/0/1900,46,FALSE,3,FALSE,FALSE,FALSE,1000000,4,ch pk ke gd jd,,,13,1,0,0,1,0,0,0,0,0,0,470,36.15384615
12/20/2001,1/0/1900,1/0/1900,1/0/1900,30,FALSE,1,FALSE,FALSE,FALSE,1000000,1,BSCHEW,,Nearly all bucks-big bucks.,13,0,0,3,0,0,0,0,0,1,0,470,36.15384615
10/8/2002,1/0/1900,1/0/1900,1/0/1900,60,FALSE,3,FALSE,FALSE,FALSE,1000000,4,,,1 Barred Owl,14,0,0,2,0,0,1,0,0,0,0,470,33.57142857
2/4/2002,1/0/1900,1/0/1900,1/0/1900,28,FALSE,0,FALSE,FALSE,FALSE,1000000,3,"Hester, James, Davis, Neal",,All areas surveyed.,15,0,0,0,0,0,0,0,0,0,0,470,31.33333333
12/28/2000,1/0/1900,1/0/1900,1/0/1900,27,FALSE,0,FALSE,FALSE,FALSE,1000000,3,"hester, buchanan, mccann",,,16,0,0,0,0,0,0,0,0,0,0,470,29.375
1/29/2001,1/0/1900,1/0/1900,1/0/1900,40,TRUE,3,FALSE,FALSE,FALSE,1000000,1,Brian Rav/Eric worthington/BlakeMcCann,,,16,1,0,0,1,0,0,0,0,0,0,470,29.375
10/10/2000,1/0/1900,1/0/1900,1/0/1900,47,FALSE,1,FALSE,FALSE,FALSE,1000000,2,"hester, payne, compton, hampton",,,18,0,0,0,0,0,1,0,1,0,0,470,26.11111111
1/15/2002,1/0/1900,1/0/1900,1/0/1900,36,FALSE,1,FALSE,FALSE,FALSE,1000000,4,H.P./B.R.,,"All areas surveyed.
Owl also seen in area 2.",19,0,0,0,0,0,1,0,0,0,0,470,24.73684211
9/10/2003,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,2,BS + 5,,,19,0,0,2,0,0,0,0,0,1,0,470,24.73684211
